us_state_or_territory,postal_code,state_fips_code,county,county_fips_code
Alabama,AL,01,Autauga,01001
Alabama,AL,01,Baldwin,01003
Alabama,AL,01,Barbour,01005
Alabama,AL,01,Bibb,01007
Alabama,AL,01,Blount,01009
Alabama,AL,01,Bullock,01011
Alabama,AL,01,Butler,01013
Alabama,AL,01,Calhoun,01015
Alabama,AL,01,Chambers,01017
Alabama,AL,01,Cherokee,01019
Alabama,AL,01,Chilton,01021
Alabama,AL,01,Choctaw,01023
Alabama,AL,01,Clarke,01025
Alabama,AL,01,Clay,01027
Alabama,AL,01,Cleburne,01029
Alabama,AL,01,Coffee,01031
Alabama,AL,01,Colbert,01033
Alabama,AL,01,Conecuh,01035
Alabama,AL,01,Coosa,01037
Alabama,AL,01,Covington,01039
Alabama,AL,01,Crenshaw,01041
Alabama,AL,01,Cullman,01043
Alabama,AL,01,Dale,01045
Alabama,AL,01,Dallas,01047
Alabama,AL,01,DeKalb,01049
Alabama,AL,01,Elmore,01051
Alabama,AL,01,Escambia,01053
Alabama,AL,01,Etowah,01055
Alabama,AL,01,Fayette,01057
Alabama,AL,01,Franklin,01059
Alabama,AL,01,Geneva,01061
Alabama,AL,01,Greene,01063
Alabama,AL,01,Hale,01065
Alabama,AL,01,Henry,01067
Alabama,AL,01,Houston,01069
Alabama,AL,01,Jackson,01071
Alabama,AL,01,Jefferson,01073
Alabama,AL,01,Lamar,01075
Alabama,AL,01,Lauderdale,01077
Alabama,AL,01,Lawrence,01079
Alabama,AL,01,Lee,01081
Alabama,AL,01,Limestone,01083
Alabama,AL,01,Lowndes,01085
Alabama,AL,01,Macon,01087
Alabama,AL,01,Madison,01089
Alabama,AL,01,Marengo,01091
Alabama,AL,01,Marion,01093
Alabama,AL,01,Marshall,01095
Alabama,AL,01,Mobile,01097
Alabama,AL,01,Monroe,01099
Alabama,AL,01,Montgomery,01101
Alabama,AL,01,Morgan,01103
Alabama,AL,01,Perry,01105
Alabama,AL,01,Pickens,01107
