state,county,election_year,election_name, registered_voters , ballots_cast 
Georgia,Appling,2006,2006 General Election,8779,4170
Georgia,Atkinson,2006,2006 General Election,3539,1500
Georgia,Bacon,2006,2006 General Election,5015,2370
Georgia,Baker,2006,2006 General Election,2149,1014
Georgia,Baldwin,2006,2006 General Election,18319,10123
Georgia,Banks,2006,2006 General Election,7352,3951
Georgia,Barrow,2006,2006 General Election,26762,11660
Georgia,Bartow,2006,2006 General Election,44854,19263
Georgia,Ben Hill,2006,2006 General Election,7668,3331
Georgia,Berrien,2006,2006 General Election,7940,3665
Georgia,Bibb,2006,2006 General Election,73747,37532
Georgia,Bleckley,2006,2006 General Election,5933,3155
Georgia,Brantley,2006,2006 General Election,7811,2969
Georgia,Brooks,2006,2006 General Election,7483,3394
Georgia,Bryan,2006,2006 General Election,13967,6745
Georgia,Bulloch,2006,2006 General Election,26059,12792
Georgia,Burke,2006,2006 General Election,11598,5236
Georgia,Butts,2006,2006 General Election,10814,5100
Georgia,Calhoun,2006,2006 General Election,2763,1221
Georgia,Camden,2006,2006 General Election,20734,7824
Georgia,Candler,2006,2006 General Election,4420,2075
Georgia,Carroll,2006,2006 General Election,48904,22106
Georgia,Catoosa,2006,2006 General Election,32282,13003
Georgia,Charlton,2006,2006 General Election,4628,1662
Georgia,Chatham,2006,2006 General Election,116751,58709
Georgia,Chattahoochee,2006,2006 General Election,2798,957
Georgia,Chattooga,2006,2006 General Election,11602,5254
Georgia,Cherokee,2006,2006 General Election,100750,49459
Georgia,Clarke,2006,2006 General Election,45410,23631
Georgia,Clay,2006,2006 General Election,1791,838
Georgia,Clayton,2006,2006 General Election,106998,46609
Georgia,Clinch,2006,2006 General Election,3290,1085
Georgia,Cobb,2006,2006 General Election,347059,179385
Georgia,Coffee,2006,2006 General Election,17419,7483
Georgia,Colquitt,2006,2006 General Election,16646,7776
Georgia,Columbia,2006,2006 General Election,62269,31646
Georgia,Cook,2006,2006 General Election,6740,2804
Georgia,Coweta,2006,2006 General Election,58702,28562
Georgia,Crawford,2006,2006 General Election,6082,3027
Georgia,Crisp,2006,2006 General Election,8931,4189
Georgia,Dade,2006,2006 General Election,8807,3318
Georgia,Dawson,2006,2006 General Election,11325,5535
Georgia,Decatur,2006,2006 General Election,12783,5645
Georgia,DeKalb,2006,2006 General Election,346826,174926
Georgia,Dodge,2006,2006 General Election,9792,5152
Georgia,Dooly,2006,2006 General Election,5203,2695
Georgia,Dougherty,2006,2006 General Election,44971,22187
Georgia,Douglas,2006,2006 General Election,55353,27024
Georgia,Early,2006,2006 General Election,6187,2804
Georgia,Echols,2006,2006 General Election,1536,571
Georgia,Effingham,2006,2006 General Election,24289,11010
Georgia,Elbert,2006,2006 General Election,10321,4658
Georgia,Emanuel,2006,2006 General Election,11901,4823
Georgia,Evans,2006,2006 General Election,5364,2674
Georgia,Fannin,2006,2006 General Election,13305,7373
Georgia,Fayette,2006,2006 General Election,64343,36115
Georgia,Floyd,2006,2006 General Election,43454,20437
Georgia,Forsyth,2006,2006 General Election,76573,40373
Georgia,Franklin,2006,2006 General Election,10130,4967
Georgia,Fulton,2006,2006 General Election,452303,206366
Georgia,Gilmer,2006,2006 General Election,13807,7429
Georgia,Glascock,2006,2006 General Election,1600,865
Georgia,Glynn,2006,2006 General Election,39547,17171
Georgia,Gordon,2006,2006 General Election,22562,9611
Georgia,Grady,2006,2006 General Election,11319,5200
Georgia,Greene,2006,2006 General Election,8910,4758
Georgia,Gwinnett,2006,2006 General Election,315655,153744
Georgia,Habersham,2006,2006 General Election,17452,8923
Georgia,Hall,2006,2006 General Election,67318,34247
Georgia,Hancock,2006,2006 General Election,5280,2234
Georgia,Haralson,2006,2006 General Election,13719,6112
Georgia,Harris,2006,2006 General Election,16883,7772
Georgia,Hart,2006,2006 General Election,11698,6769
Georgia,Heard,2006,2006 General Election,5877,2374
Georgia,Henry,2006,2006 General Election,91279,44304
Georgia,Houston,2006,2006 General Election,58055,31211
Georgia,Irwin,2006,2006 General Election,4338,2178
Georgia,Jackson,2006,2006 General Election,23602,11606
Georgia,Jasper,2006,2006 General Election,6586,3377
Georgia,Jeff Davis,2006,2006 General Election,6819,2969
Georgia,Jefferson,2006,2006 General Election,9272,4892
Georgia,Jenkins,2006,2006 General Election,4597,2002
Georgia,Johnson,2006,2006 General Election,4663,2093
Georgia,Jones,2006,2006 General Election,13540,7276
