state,county,precinct,election_year,election_name,registered_voters,ballots_cast
Georgia,Appling,1B,2018,2018 General Election,1200,783
Georgia,Appling,1C,2018,2018 General Election,789,540
Georgia,Appling,2,2018,2018 General Election,2095,1164
Georgia,Appling,3A1,2018,2018 General Election,750,539
Georgia,Appling,3C,2018,2018 General Election,1475,935
Georgia,Appling,4B,2018,2018 General Election,788,586
Georgia,Appling,4D,2018,2018 General Election,1412,976
Georgia,Appling,5A,2018,2018 General Election,1058,637
Georgia,Appling,5B,2018,2018 General Election,1046,667
Georgia,Atkinson,Pearson County,2018,2018 General Election,1557,952
Georgia,Atkinson,Axson,2018,2018 General Election,655,418
Georgia,Atkinson,Willacoochee,2018,2018 General Election,1184,738
Georgia,Atkinson,Pearson City,2018,2018 General Election,856,419
Georgia,Bacon,Douglas,2018,2018 General Election,6010,3836
Georgia,Baker,Anna,2018,2018 General Election,156,96
Georgia,Baker,Elmodel,2018,2018 General Election,406,239
Georgia,Baker,Hoggard Mill,2018,2018 General Election,340,173
Georgia,Baker,Milford,2018,2018 General Election,263,175
Georgia,Baker,Newton,2018,2018 General Election,1067,614
Georgia,Baldwin,South Mill,2018,2018 General Election,1103,664
Georgia,Baldwin,City Hall Annex,2018,2018 General Election,816,440
Georgia,Baldwin,Boddie,2018,2018 General Election,1211,618
Georgia,Baldwin,Courthouse,2018,2018 General Election,456,258
Georgia,Baldwin,Fire Dept,2018,2018 General Election,1338,824
Georgia,Baldwin,North Mill,2018,2018 General Election,1938,1410
Georgia,Baldwin,Meriweather,2018,2018 General Election,2463,1827
Georgia,Baldwin,East Baldwin,2018,2018 General Election,3352,2413
Georgia,Baldwin,Scottsboro,2018,2018 General Election,974,584
Georgia,Baldwin,North Baldwin,2018,2018 General Election,3141,2344
Georgia,Baldwin,West Baldwin,2018,2018 General Election,1634,1179
Georgia,Baldwin,East Hardwick,2018,2018 General Election,1114,566
Georgia,Baldwin,West Hardwick,2018,2018 General Election,2517,1609
Georgia,Baldwin,Coopers,2018,2018 General Election,1342,954
Georgia,Banks,Anderson,2018,2018 General Election,1276,811
Georgia,Banks,Baldwin,2018,2018 General Election,735,506
Georgia,Banks,Berlin,2018,2018 General Election,331,211
Georgia,Banks,Bushville,2018,2018 General Election,695,407
Georgia,Banks,Columbia,2018,2018 General Election,325,245
Georgia,Banks,Davids,2018,2018 General Election,1571,943
Georgia,Banks,Golden Hill,2018,2018 General Election,831,477
Georgia,Banks,Grove River,2018,2018 General Election,498,328
Georgia,Banks,Hollingsworth,2018,2018 General Election,597,405
Georgia,Banks,Homer,2018,2018 General Election,1294,811
Georgia,Banks,Poplar Springs,2018,2018 General Election,1503,952
Georgia,Banks,Washington,2018,2018 General Election,613,405
Georgia,Banks,Wilmonts,2018,2018 General Election,538,366
Georgia,Barrow,01 Bethlehem Community Center,2018,2018 General Election,2830,1646
Georgia,Barrow,02 Bethlehem Church - 211,2018,2018 General Election,3318,2147
Georgia,Barrow,03 Bramlett Elementary School,2018,2018 General Election,2961,1549
Georgia,Barrow,04 Westside Middle School,2018,2018 General Election,2387,1297
Georgia,Barrow,05 Fire Station 1 (Statham),2018,2018 General Election,4333,2651
Georgia,Barrow,06 Winder Barrow High School,2018,2018 General Election,2118,1179
Georgia,Barrow,07 Statham Elementary School,2018,2018 General Election,2660,1694
Georgia,Barrow,08 First Baptist Church,2018,2018 General Election,2957,1749
Georgia,Barrow,09 Lions Club,2018,2018 General Election,3171,1982
Georgia,Barrow,10 Leisure Services Center,2018,2018 General Election,2958,1403
Georgia,Barrow,11 Apalachee High School,2018,2018 General Election,3233,1839
Georgia,Barrow,12 Midway United Methodist Church,2018,2018 General Election,2649,1465
Georgia,Barrow,13 Winder Community Center,2018,2018 General Election,2465,1338
Georgia,Barrow,14 Cedar Creek Baptist Church,2018,2018 General Election,1191,664
Georgia,Barrow,15 County Line Elementary School,2018,2018 General Election,3050,1895
Georgia,Barrow,16 The Church at Winder,2018,2018 General Election,5233,2961
Georgia,Bartow,Adairsville,2018,2018 General Election,5687,3338
